UNIVERSITY,ENDOWMENT_NAME,STATE_PROVINCE,ENDOWMENT_2015,ENDOWMENT_2014,MARKET_VALUE_CHANGE,ENDOWMENT_2015_OVERRIDE
"Hampden-Sydney College","Hampden-Sydney College","VA",154643,150901,2.5,
"Hampshire College","Hampshire College","MA",39308,37567,4.6,
"Hampton University","Hampton University","VA",263237,288370,-8.7,
"Hanover College","Hanover College","IN",149372,151106,-1.1,
"Hardin-Simmons University","Hardin-Simmons University","TX",146169,139972,4.4,
"Harding University","Harding University, Inc.","AR",117945,116937,0.9,
"Harford Community College","Harford Community College Foundation","MD",6140,6022,2,
"Hartford Seminary","Hartford Seminary Foundation","CT",47917,46767,2.5,
"Hartwick College","Hartwick College","NY",70589,70808,-0.3,
"Harvard University","Harvard University","MA",36448817,35883891,1.6,
"Harvey Mudd College","Harvey Mudd College","CA",288996,283696,1.9,
"Haverford College","Haverford College","PA",495044,494570,0.1,
"Heidelberg University","Heidelberg University","OH",45765,43212,5.9,
"Hendrix College","Hendrix College","AR",181932,181631,0.2,
"High Point University","High Point University","NC",48317,48088,0.5,
"Hillsborough Community College","Hillsborough Community College Foundation, Inc.","FL",4856,4787,1.4,
"Hiram College","Hiram College","OH",67122,69399,-3.3,
"Hobart and William Smith Colleges","Hobart and William Smith Colleges","NY",196522,204862,-4.1,
"Hofstra University","Hofstra University","NY",413872,400191,3.4,
"Hollins University","Hollins University","VA",170971,180654,-5.4,
"Holy Names University","Holy Names University","CA",15117,14887,1.5,
"Hood College of Frederick MD","Hood College of Frederick MD","MD",83671,83450,0.3,
"Hope College","Hope College","MI",203273,195943,3.7,
"Howard Payne University","Howard Payne University","TX",58890,61254,-3.9,
"Howard University","Howard University","DC",659630,590659,11.7,
"Humboldt State University","Humboldt State University Advancement Foundation","CA",27964,27724,0.9,
"Illinois College","Illinois College","IL",150124,148409,1.2,
"Illinois Institute of Technology","Illinois Institute of Technology","IL",235459,222986,5.6,
"Illinois State University","Illinois State University Foundation","IL",102658,99917,2.7,102658
"Illinois Wesleyan University","Illinois Wesleyan University","IL",224167,221617,1.2,
"Indiana Institute of Technology","Indiana Institute of Technology, Inc.","IN",96053,81746,17.5,
"Indiana State University","Indiana State University Foundation, Inc.","IN",56532,55927,1.1,
"Indiana University of Pennsylvania","Indiana University of Pennsylvania & Foundation","PA",60524,58983,2.6,
"Indiana University--Bloomington","Indiana University & Foundations","IN",1974215,1988336,-0.7,1974215
"Indiana Wesleyan University","Indiana Wesleyan University","IN",145149,138288,5,
"Inter American University of Puerto Rico","Inter American University of Puerto Rico","PR",202283,196472,3,
"Iona College","Iona College","NY",110891,100296,10.6,
"Iowa State University","Iowa State University & Foundation","IA",786205,777018,1.2,786205
"J. Sargeant Reynolds Community College","J. Sargeant Reynolds Community College Educational Foundation","VA",8423,7497,12.4,
"Jacksonville University","Jacksonville University","FL",36987,37417,-1.1,
"James Madison University","James Madison University Foundation","VA",81948,78386,4.5,81948
"John Brown University","John Brown University","AR",100980,97964,3.1,
"John Carroll University","John Carroll University","OH",205197,198277,3.5,
"Johns Hopkins University","Johns Hopkins University","MD",3412617,3451947,-1.1,
"Johnson and Wales University","Johnson & Wales University","RI",263788,272936,-3.4,
"Juniata College","Juniata College","PA",115739,109209,6,
"Kalamazoo College","Kalamazoo College","MI",219847,222048,-1,
"Kalamazoo Valley Community College","Kalamazoo Valley Community College","MI",15314,14940,2.5,
"Kansas State University","Kansas State University Foundation","KS",488936,473987,3.2,488936
"Kansas University Endowment","The Kansas University Endowment Association","KS",1500402,1470786,2,
"Keck Graduate Institute of Applied Life Sciences","Keck Graduate Institute of Applied Life Sciences","CA",55332,59018,-6.2,
"Kent State University","Kent State University Foundation, Inc.","OH",115917,110912,4.5,115917
"Kentucky Community and Technical College","Kentucky Community & Technical College System","KY",51523,49474,4.1,
"Kenyon College","Kenyon College","OH",218644,212160,3.1,
"Kettering University","Kettering University","MI",80959,81288,-0.4,
"King's College","King's College","PA",69115,67426,2.5,
"Knox College","Knox College","IL",127782,124428,2.7,
"Kutztown University","Kutztown University Foundation, Inc.","PA",21934,20504,7,
"La Salle University","La Salle University","PA",87982,87487,0.6,
"LaGrange College","LaGrange College","GA",51768,56166,-7.8,
"Labour College","Labour College","MA",2616,2561,2.1,
"Lafayette College","Lafayette College","PA",777553,800678,-2.9,
"Lake Forest College","Lake Forest College","IL",89133,84764,5.2,
"Lakeland College","Lakeland College","WI",18556,15048,23.3,
"Lakeland Community College","Lakeland Community College","OH",3375,3079,9.6,
"Lamar University","Lamar University","TX",33388,33259,0.4,
"Lamar University","Lamar University Foundation, Inc.","TX",73438,67790,8.3,
"Lasell College","Lasell College","MA",40282,40091,0.5,
"Laurentian University of Sudbury","Laurentian University of Sudbury","ON",34438,46036,-25.2,
"Lawrence Technological University","Lawrence Technological University","MI",46830,36519,28.2,
"Lawrence University of Wisconsin","Lawrence University of Wisconsin","WI",275448,249473,10.4,
"Le Moyne College","Le Moyne College","NY",160748,147203,9.2,
"LeTourneau University","LeTourneau University","tX",17618,16738,5.3,
"Lebanese American University","Lebanese American University","NY",431222,424343,1.6,
"Lebanon Valley College","Lebanon Valley College","PA",61751,58366,5.8,
"Lehigh University","Lehigh University","PA",1213207,1215926,-0.2,
"Lenoir-Rhyne University","Lenoir-Rhyne University","NC",94643,94643,-3,
"Lesley University","Lesley University","MA",176664,189000,-6.5,
"Lewis University","Lewis University","IL",54334,52561,3.4,
"Lewis and Clark College","Lewis & Clark College","OR",227691,233680,-2.6,
"Linfield College","Linfield College","OR",102902,103455,-0.5,
"Lipscomb University","Lipscomb University","TN",70471,69753,1,
"Loma Linda University","Loma Linda University","CA",787454,737410,6.8,
"Long Island University","Long Island University","NY",117679,96987,21.3,
"Longwood University","Longwood University Foundation Inc.","VA",55467,54073,2.6,55467
"Loras College","Loras College","IA",29433,28519,3.2,
"Louisiana State University--Baton Rouge","LSU System","LA",851833,838375,1.6,502865
"Louisville Presbyterian Theological Seminary","Louisville Presbyterian Theological Seminary","KY",81094,86161,-5.9,
"Loyola Marymount University","Loyola Marymount University","CA",437792,454241,-3.6,
"Loyola University Chicago","Loyola University of Chicago","IL",542909,539719,0.6,
"Loyola University Maryland","Loyola University Maryland, Inc.","MD",206254,197929,4.2,
"Loyola University New Orleans","Loyola University New Orleans","LA",270392,296294,-8.7,
"Luther College","Luther College","IA",147033,147079,0,
