UNIVERSITY,ENDOWMENT_NAME,STATE_PROVINCE,ENDOWMENT_2015,ENDOWMENT_2014,MARKET_VALUE_CHANGE,ENDOWMENT_2015_OVERRIDE
"Willamette University","Willamette University","OR",242050,234109,3.4,
"William Mitchell College of Law","William Mitchell College of Law","MN",25184,27271,-7.7,
"William Peace University","William Peace University","NC",36286,37887,-4.2,
"Williams College","Williams College","MA",2395100,2253330,6.3,
"Wilson College","Wilson College","PA",67459,71902,-6.2,
"Winston-Salem State University","Winston-Salem State University & Foundation","NC",37219,34308,8.5,
"Winthrop University","Winthrop University Foundation","SC",43072,40016,7.6,43072
"Wisconsin Lutheran College","Wisconsin Lutheran College, Inc.","WI",28930,26481,9.3,
"Wittenberg University","Wittenberg University","OH",102092,98918,3.2,
"Wofford College","Wofford College","SC",184708,191831,-3.7,
"Worcester Polytechnic Institute","Worcester Polytechnic Institute","MA",435867,433062,0.6,
"Worcester State","Worcester State Foundation","MA",23077,22998,0.3,
"Wright State University","Wright State University Foundation, Inc.","OH",88661,89571,-1,
"Xavier University","Xavier University","OH",156378,153478,1.9,
"Yale University","Yale University","CT",25572100,23894800,7,
"Yeshiva University","Yeshiva University","NY",1061440,1094558,-3,
"York College of Pennsylvania","York College of Pennsylvania","PA",87681,84215,4.1,
"Youngstown State University","Youngstown State University Foundation","OH",229119,227342,0.8,
