"RANK","NAME","COUNTRY","REGION"
"405","Indian Institute of Technology Bombay","India","Asia"
"405","Pontificia Universidad Católica de Chile ","Chile","Latin America"
"405","Université de Rennes 1","France","Europe"
"408","Jilin University","China","Asia"
"409","Dortmund University of Technology","Germany","Europe"
"409","Philipps University of Marburg","Germany","Europe"
"409","Polytechnic University of Catalonia","Spain","Europe"
"409","University of Bath","United Kingdom","Europe"
"409","University of Crete","Greece","Europe"
"409","University of Santiago de Compostela","Spain","Europe"
"415","Medical University of South Carolina","United States","North America"
"416","University of Central Florida","United States","North America"
"417","Griffith University","Australia","Australia/New Zealand"
"417","University of KwaZulu-Natal","South Africa","Africa"
"417","University of Trento","Italy","Europe"
"420","University at Buffalo--SUNY","United States","North America"
"421","University of Eastern Finland","Finland","Europe"
"422","University College Cork","Ireland","Europe"
"423","Universiti Malaya","Malaysia","Asia"
"424","Deakin University","Australia","Australia/New Zealand"
"424","Kyungpook National University","South Korea","Asia"
"426","Brunel University","United Kingdom","Europe"
"426","Sichuan University","China","Asia"
"428","ENS de Lyon","France","Europe"
"428","Hanyang University","South Korea","Asia"
"430","Universidade de Coimbra","Portugal","Europe"
"431","Ben-Gurion University of the Negev","Israel","Asia"
"431","University of Potsdam","Germany","Europe"
"433","Saint Petersburg State University","Russian Federation","Europe"
"433","University of Texas--Arlington","United States","North America"
"435","East China Normal University","China","Asia"
"435","Medical University of Innsbruck","Austria","Europe"
"437","University of Konstanz","Germany","Europe"
"438","Oklahoma State University - Stillwater","United States","North America"
"438","Texas Tech University","United States","North America"
"438","University of Hannover","Germany","Europe"
"438","University of Udine","Italy","Europe"
"438","University of Zaragoza","Spain","Europe"
"443","Cairo University","Egypt","Africa"
"443","Universidade Federal de São Paulo","Brazil","Latin America"
"443","Université Nice Sophia Antipolis","France","Europe"
"446","Saarland University","Germany","Europe"
"446","University of Texas Medical Branch--Galveston","United States","North America"
"448","Eotvos Lorand University","Hungary","Europe"
"448","Polytechnic University of Valencia","Spain","Europe"
"448","South China University of Technology","China","Asia"
"448","Universidade do Estado do Rio de Janeiro","Brazil","Latin America"
"448","University of Technology Sydney","Australia","Australia/New Zealand"
"453","Ege University","Turkey","Asia"
"453","Ewha Womans University","South Korea","Asia"
"453","Lanzhou University","China","Asia"
"453","Mahidol University","Thailand","Asia"
"453","Universidad de Chile","Chile","Latin America"
"458","Florida International University","United States","North America"
"458","University of Surrey","United Kingdom","Europe"
"460","Bielefeld University","Germany","Europe"
"460","Medical College of Wisconsin","United States","North America"
"462","Saint Louis University","United States","North America"
"462","Tokyo Medical and Dental University","Japan","Asia"
"462","Tokyo Metropolitan University","Japan","Asia"
"465","Roma Tre University","Italy","Europe"
"465","University of Tromsø","Norway","Europe"
"467","Gwangju Institute of Science and Technology","South Korea","Asia"
"467","University of Catania","Italy","Europe"
"467","University of Tartu","Estonia","Europe"
"470","Loughborough University","United Kingdom","Europe"
"471","China University of Geosciences","China","Asia"
"472","Isfahan University of Technology","Iran","Asia"
"473","Chiba University","Japan","Asia"
"473","King Saud University","Saudi Arabia","Asia"
"473","National Technical National and Kapodistrian University of Athens","Greece","Europe"
"473","Tilburg University","Netherlands","Europe"
"473","University of Saskatchewan","Canada","North America"
"478","Comenius University in Bratislava","Slovakia","Europe"
"479","University of Bayreuth","Germany","Europe"
"479","University of South Australia","Australia","Australia/New Zealand"
"481","Ankara University","Turkey","Asia"
"481","Massey University","New Zealand","Australia/New Zealand"
"481","University of Louisville","United States","North America"
"484","Catholic University of the Sacred Heart","Italy","Europe"
"484","Indian Institute of Technology Kharagpur","India","Asia"
"484","Universidade de Aveiro","Portugal","Europe"
"484","University of Vermont","United States","North America"
