RANK,NAME,LOCATION
213,Beloit College,"Beloit, WI"
215,Macalester College,"Saint Paul, MN"
216,Carleton College,"Northfield, MN"
217,Moravian College and Moravian Theological Seminary,"Bethlehem, PA"
218,San Jose State University,"San Jose, CA"
218,Nebraska Wesleyan University,"Lincoln, NE"
220,Pennsylvania State University--University Park,"University Park, PA"
221,Rockhurst University,"Kansas City, MO"
221,Linfield College--McMinnville,"McMinnville, OR"
223,University of Redlands,"Redlands, CA"
224,Lewis University,"Romeoville, IL"
224,University of Wisconsin-Stevens Point,"Stevens Point, WI"
224,Calvin College,"Grand Rapids, MI"
224,North Dakota State University,"Fargo, ND"
228,Valparaiso University,"Valparaiso, IN"
228,Tennessee State University,"Nashville, TN"
228,Cedarville University,"Cedarville, OH"
231,Appalachian State University,"Boone, NC"
232,University of Minnesota--Morris,"Morris, MN"
232,Oregon State University,"Corvallis, OR"
234,Aurora University,"Aurora, IL"
235,Louisiana Tech University,"Ruston, LA"
235,Clark University,"Worcester, MA"
235,Illinois Institute of Technology,"Chicago, IL"
238,Ramapo College of New Jersey,"Mahwah, NJ"
238,Hamline University,"Saint Paul, MN"
240,Hanover College,"Hanover, IN"
241,Goshen College,"Goshen, IN"
242,Towson University,"Towson, MD"
243,Brandeis University,"Waltham, MA"
243,Illinois Wesleyan University,"Bloomington, IL"
243,Art Center College of Design,"Pasadena, CA"
246,San Diego State University,"San Diego, CA"
246,University of Oklahoma--Norman,"Norman, OK"
248,University of Dallas,"Irving, TX"
249,Gordon College,"Wenham, MA"
250,Haverford College,"Haverford, PA"
250,Colorado State University--Fort Collins,"Fort Collins, CO"
252,University of Mary Washington,"Fredericksburg, VA"
253,Knox College,"Galesburg, IL"
253,Franciscan University of Steubenville,"Steubenville, OH"
255,Occidental College,"Los Angeles, CA"
256,Whitworth University,"Spokane, WA"
257,University of Houston,"Houston, TX"
258,Reed College,"Portland, OR"
258,Wells College,"Aurora, NY"
260,Houghton College,"Houghton, NY"
261,Lewis & Clark College,"Portland, OR"
261,Oklahoma State University,"Stillwater, OK"
263,Westmont College,"Santa Barbara, CA"
264,Gallaudet University,"Washington, DC"
265,Tennessee Technological University,"Cookeville, TN"
265,Oberlin College,"Oberlin, OH"
267,University of Maryland--Baltimore County,"Baltimore, MD"
268,Rensselaer Polytechnic Institute,"Troy, NY"
268,Smith College,"Northampton, MA"
268,University of Pittsburgh--Pittsburgh,"Pittsburgh, PA"
268,University of Maine--Presque Isle,"Presque Isle, ME"
272,Bryant University,"Smithfield, RI"
272,Illinois College,"Jacksonville, IL"
274,Bethel College--Indiana,"Mishawaka, IN"
274,Centre College,"Danville, KY"
274,Mississippi State University,"Mississippi State, MS"
274,Seattle Pacific University,"Seattle, WA"
278,Simmons College,"Boston, MA"
278,Ursinus College,"Collegeville, PA"
280,Augsburg College,"Minneapolis, MN"
280,John Carroll University,"University Heights, OH"
282,Lake Forest College,"Lake Forest, IL"
282,National University,"La Jolla, CA"
284,Illinois State University,"Normal, IL"
284,Evergreen State College,"Olympia, WA"
284,Drake University,"Des Moines, IA"
287,University of Tennessee--Knoxville,"Knoxville, TN"
287,SUNY--Fredonia,"Fredonia, NY"
287,Minnesota State University--Mankato,"Mankato, MN"
287,SUNY College--Geneseo,"Geneseo, NY"
291,University of Scranton,"Scranton, PA"
291,Waynesburg University,"Waynesburg, PA"
291,Le Moyne College,"Syracuse, NY"
294,Ripon College,"Ripon, WI"
294,Syracuse University,"Syracuse, NY"
296,Simpson College,"Indianola, IA"
296,Montclair State University,"Montclair, NJ"
296,Seattle University,"Seattle, WA"
299,College of the Ozarks,"Point Lookout, MO"
299,Saint Michael's College,"Colchester, VT"
299,Agnes Scott College,"Decatur, GA"
302,Albion College,"Albion, MI"
303,Temple University,"Philadelphia, PA"
304,Slippery Rock University of Pennsylvania,"Slippery Rock, PA"
